,Countries,Country,Code,Pop2019
0,Austria,Austria,AUT,8877067.0
1,Belgium,Belgium,BEL,11484055.0
2,Bulgaria,Bulgaria,BGR,6975761.0
3,Czech Republic,Czech Republic,CZE,10669709.0
4,France,France,FRA,67059887.0
5,Germany,Germany,DEU,83132799.0
6,Denmark,Denmark,DNK,5818553.0
7,Greece,Greece,GRC,10716322.0
8,Estonia,Estonia,EST,1326590.0
9,Ireland,Ireland,IRL,4941444.0
10,Spain,Spain,ESP,47076781.0
11,Italy,Italy,ITA,60297396.0
12,Netherlands,Netherlands,NLD,17332850.0
13,Croatia,Croatia,HRV,4067500.0
14,Cyprus,Cyprus,CYP,1198575.0
15,Latvia,Latvia,LVA,1912789.0
16,Lithuania,Lithuania,LTU,2786844.0
17,Luxembourg,Luxembourg,LUX,619896.0
18,Malta,Malta,MLT,502653.0
19,Hungary,Hungary,HUN,9769949.0
20,Poland,Poland,POL,37970874.0
21,Portugal,Portugal,PRT,10269417.0
22,Romania,Romania,ROU,19356544.0
23,Slovakia,Slovakia,SVK,5454073.0
24,Slovenia,Slovenia,SVN,2087946.0
25,Sweden,Sweden,SWE,10285453.0
26,Finland,Finland,FIN,5520314.0
27,United Kingdom,United Kingdom,GBR,66834405.0
28,Iceland,Iceland,ISL,361313.0
29,Norway,Norway,NOR,5347896.0
30,Liechtenstein,Liechtenstein,LIE,38019.0
31,Switzerland,Switzerland,CHE,8574832.0
